name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
Aaj Ka Samson,,123 min,"Action, Romance",3.1,14.0,Kukoo Kapoor,Hemant Birje,Sahila Chaddha,Goga Kapoor
Aaj Ka Ye Ghar,,,Drama,4.5,10.0,Surendra Shailaj,Jaymala Adarsh,Shreeram Lagoo,Romesh Sharma
Aaj Kaa M.L.A. Ram Avtar,,157 min,"Action, Drama",5.8,65.0,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi,Deven Verma
Aaj Ke Angaarey,,128 min,"Action, Drama",5.0,26.0,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh
Aaj Ke Shahenshah,,132 min,Action,3.3,15.0,Shibu Mitra,Jeetendra,Raj Babbar,Chunky Panday
Aaj Ke Sholey,,,Adventure,5.3,37.0,S.V. Rajendra Singh Babu,Jayanthi,Manjula,Amrish Puri
Aaj Ki Awaz,,137 min,"Action, Drama, Crime",5.6,79.0,Ravi Chopra,Raj Babbar,Smita Patil,Rashmi Chauhan
Aaj Ki Taaza Khabar,,,Comedy,7.3,88.0,Rajendra Bhatia,Radha Saluja,Kiran Kumar,I.S. Johar
Aaj Kie Aurat,,,"Action, Drama",3.8,14.0,Avtar Bhogal,Jeetendra,Dimple Kapadia,Sujata Mehta
Aaja Meri Jaan,,162 min,Romance,4.4,30.0,Ketan Anand,Krishan Kumar,Tanya Singh,Shammi Kapoor
Aaja Nachle,,137 min,"Drama, Family, Music",6.2,,Anil Mehta,Madhuri Dixit,Darshan Jariwala,Raghuvir Yadav
Aaja Sanam,,121 min,"Drama, Romance",6.7,14.0,Yusuf Naqvi,Feroz Khan,Tanuja,Deven Verma
Aaja Sanam,,,"Drama, Romance",3.3,7.0,Mohnish Bahl,Chandni,Kulbhushan Kharbanda,Ranbir Pushp
Aakhir Kaun Thi Woh?,,,"Action, Mystery, Thriller",4.4,5.0,Bapu,Raj Babbar,Raza Murad,Sripradha
Aakhir Kyon?,,,Drama,6.6,158.0,J. Om Prakash,Rajesh Khanna,Smita Patil,Rakesh Roshan
Aakhree Raasta,,164 min,"Action, Crime, Drama",7.1,,Bhagyaraj,Amitabh Bachchan,Sridevi,Jaya Prada
Aakhri Adaalat,,148 min,"Action, Thriller",5.2,78.0,Rajiv Mehra,Vinod Khanna,Dimple Kapadia,Jackie Shroff
Aakhri Baazi,,149 min,"Action, Drama, Family",4.1,53.0,Ashim S. Samanta,Shatrughan Sinha,Moushumi Chatterjee,Govinda
Aakhri Badla,,120 min,"Action, Crime, Drama",5.0,21.0,Mangal Chakravarty,Tom Alter,Yogeeta Bali,Abhi Bhattacharya
Aakhri Cheekh,,,Horror,4.8,47.0,Kiran Ramsay,Vijayendra Ghatge,Javed Khan,Sripradha
Aakhri Daao,,,"Action, Crime, Drama",5.5,29.0,A. Salaam,Jeetendra,Saira Banu,Padma Khanna
Aakhri Daku,,,Action,5.6,21.0,Prakash Mehra,Randhir Kapoor,Vinod Khanna,Rekha
